"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"11147",14,22,"disamb","fp",72,"disamb fp",2,0,506,506,0.5,0.5
"11149",14,20,"disamb","fp",72,"disamb fp",4,0,258,258,-0.5,0.5
"11151",14,10,"disamb","fp",72,"disamb fp",2,0,180,180,0.5,0.5
"11153",14,15,"disamb","fp",72,"disamb fp",3,0,434,434,-0.5,-0.5
"11155",14,6,"disamb","fp",72,"disamb fp",2,0,544,544,0.5,0.5
"11157",14,4,"disamb","fp",72,"disamb fp",4,0,392,392,-0.5,0.5
"11159",14,18,"disamb","fp",72,"disamb fp",2,0,188,188,0.5,0.5
"11161",14,7,"disamb","fp",72,"disamb fp",3,0,218,218,-0.5,-0.5
"11163",14,24,"disamb","fp",72,"disamb fp",4,0,216,216,-0.5,0.5
"11165",14,16,"disamb","fp",72,"disamb fp",4,0,246,246,-0.5,0.5
"11167",14,3,"disamb","fp",72,"disamb fp",3,0,244,244,-0.5,-0.5
"11169",14,2,"disamb","fp",72,"disamb fp",2,0,466,466,0.5,0.5
"11171",14,21,"disamb","fp",72,"disamb fp",1,0,220,220,0.5,-0.5
"11173",14,13,"disamb","fp",72,"disamb fp",1,0,300,300,0.5,-0.5
"11175",14,9,"disamb","fp",72,"disamb fp",1,0,252,252,0.5,-0.5
"11177",14,17,"disamb","fp",72,"disamb fp",1,1,0,NA,0.5,-0.5
"11179",14,19,"disamb","fp",72,"disamb fp",3,0,298,298,-0.5,-0.5
